Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Status,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description
anhanger-nomad-black,"Anhänger NOMA black","<p>schwarzer Boho Anhänger für Halsband oder Leine im Boho Style</p><p>Mit Bommel und Quaste</p><p>Maße: 5 x 3 cm</p><p>made in Munich</p><p>Die Ringe sind extra eher weich gewählt, damit sich kein Hund damit im Unterholz verfangen kann oder irgendwo hängen bleiben kann.</p><p>Da dein Hund den Anhänger mit der Schnauze erreichen kann solltest du ihn nicht unbeaufsichtigt damit lassen</p>",Prunkhund,,Kollektion_NOMAD,TRUE,active,Title,Default Title,,,,,,300,shopify,deny,manual,14.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/hundehalsband-anhanger-boho3.png?v=1665088231,1,Anhänger NOMA black,FALSE,"Anhänger NOMA black","schwarzer Boho Anhänger für Halsband oder Leine im Boho Style. Mit Bommel und Quaste. Maße: 5 x 3 cm."
anhanger-nomad-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/prunkhund-boho-hundehalsband90.png?v=1665088430,2,Anhänger NOMA black,,,,
anhanger-nomad-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/prunkhund-boho-hundehalsband81.png?v=1665088445,3,Anhänger NOMA black,,,,
anhanger-nomad-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/prunkhund-boho-hundehalsband80.png?v=1665088461,4,Anhänger NOMA black,,,,
anhanger-nomad-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/86.png?v=1665088468,5,Anhänger NOMA black,,,,
anhanger-nomad-cream-small,"Anhänger NOMA cream M","<p>Boho Anhänger für die Hundeleine mit Quaste </p><p>Maße: 7 x 2 cm</p><p>Die Ringe sind extra eher weich gewählt, damit sich kein Hund damit im Unterholz verfangen kann oder irgendwo hängen bleiben kann.</p><p>Da dein Hund den Anhänger mit der Schnauze erreichen kann solltest du ihn nicht unbeaufsichtigt damit lassen</p>",Prunkhund,,Kollektion_NOMAD,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,14.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/hundehalsband-anhanger-boho2.png?v=1665088588,1,Anhänger NOMA cream M,FALSE,"Anhänger NOMA cream M","Boho Anhänger für die Hundeleine mit Quaste. Maße: 7 x 2 cm."
anhanger-nomad-cream-small,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/hundehalsband-tassel-anhanger2.png?v=1665088595,2,Anhänger NOMA cream M,,,,
anhanger-nomad-pink,"Anhänger NOMA pink","<p>Boho Anhänger für Halsband oder Leine in neon pink</p><p>mit Quaste und Bommel </p><p>Maße: 4.5 x 2.5 cm</p><p>handgefertigt in München</p><p>Die Ringe sind extra eher weich gewählt, damit sich kein Hund damit im Unterholz verfangen kann oder irgendwo hängen bleiben kann.</p><p>Da dein Hund den Anhänger mit der Schnauze erreichen kann solltest du ihn nicht unbeaufsichtigt damit lassen</p>",Prunkhund,,"__with:halsband-nomad-pink,__with:leine-nomad-pink,Farbe_Pink,Kollektion_NOMAD",TRUE,active,Title,Default Title,,,,,,0,shopify,deny,manual,14.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/hundehalsband-anhanger-boho1.png?v=1665088601,1,Anhänger NOMA pink,FALSE,"Anhänger NOMA pink","Boho Anhänger für Halsband oder Leine in neon pink. mit Quaste und Bommel. Maße: 4.5 x 2.5 cm."
anhanger-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/prunkhund-boho-hundehalsband41.png?v=1665088616,2,Anhänger NOMA pink,,,,
anhanger-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/prunkhund-boho-hundehalsband43.png?v=1665088633,3,Anhänger NOMA pink,,,,
anhanger-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/prunkhund-boho-hundehalsband39.png?v=1665088648,4,Anhänger NOMA pink,,,,
anhanger-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/prunkhund-boho-hundehalsband40.png?v=1665088666,5,Anhänger NOMA pink,,,,
anhanger-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/prunkhund-boho-hundehalsband42.png?v=1665088682,6,Anhänger NOMA pink,,,,
anhanger-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/anhangerhundehalsbandbohopink.png?v=1665088690,7,Anhänger NOMA pink,,,,
armband-nomad-azure,"Armband NOMA azur","<p>Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD azure.</p><p>So kannst du mit deinem Hund im Partnerlook gehen. Das Armband ist verstellbar, es hat eine Öse und wird zum Verschliessen geknotet.</p><p>erhältlich in 2 Breiten: 1,5 cm und 2,5 cm</p>",Prunkhund,,Kollektion_NOMAD,TRUE,active,Breite,1.5 cm,,,,,,10,shopify,continue,manual,12.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund3.png?v=1665088704,1,Armband NOMA azur,FALSE,"Armband NOMA azur","Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD azure. So kannst du mit deinem Hund im Partnerlook gehen."
armband-nomad-azure,,,,,,,,Breite,2.5 cm,,,,,,10,shopify,continue,manual,15.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft3.png?v=1665088723,2,Armband NOMA azur,,,,
armband-nomad-azure,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund8.png?v=1665088740,3,Armband NOMA azur,,,,
armband-nomad-berry,"Armband NOMA berry","<p>Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD lime.</p><p>So kannst du mit deinem Hund im Partnerlook gehen. Das Armband ist verstellbar, es hat eine Öse und wird zum Verschliessen geknotet.</p><p>erhältlich in 2 Breiten: 1,5 cm und 2,5 cm</p>",Prunkhund,,Kollektion_NOMAD,TRUE,active,Breite,1.5 cm,,,,,,10,shopify,deny,manual,12.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund4.png?v=1665088752,1,Armband NOMA berry,FALSE,"Armband NOMA berry","Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD lime. So kannst du mit deinem Hund im Partnerlook gehen."
armband-nomad-berry,,,,,,,,Breite,2.5 cm,,,,,,10,shopify,continue,manual,15.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft3_18f3acb7-e48d-42f9-8d48-a6566f2428c0.png?v=1665088761,2,Armband NOMA berry,,,,
armband-nomad-berry,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft2.png?v=1665088776,3,Armband NOMA berry,,,,
armband-nomad-berry,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/nomad-collection-armband-geknuepft-handgemacht-bunt_f48aeb4e-90f0-4e92-9537-1b3210a35d3f.png?v=1665088796,4,Armband NOMA berry,,,,
armband-nomad-berry,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft1_4e56b1df-bb71-47c6-adbe-aa1f1efbc721.png?v=1665088816,5,Armband NOMA berry,,,,
armband-nomad-indigo,"Armband NOMA indigo","<p>Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD azure.</p><p>So kannst du mit deinem Hund im Partnerlook gehen. Das Armband ist verstellbar, es hat eine Öse und wird zum Verschliessen geknotet.</p><p>erhältlich in 2 Breiten: 1,5 cm und 2,5 cm</p>",Prunkhund,,Kollektion_NOMAD,TRUE,active,Breite,1.5 cm,,,,,,10,shopify,deny,manual,12.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund2.png?v=1665089018,1,Armband NOMA indigo,FALSE,"Armband NOMA indigo","Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD azure. So kannst du mit deinem Hund im Partnerlook gehen."
armband-nomad-indigo,,,,,,,,Breite,2.5 cm,,,,,,10,shopify,continue,manual,15.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/nomad-collection-armband-geknuepft-handgemacht-bunt_a4d7d06c-4d19-4866-b9a5-5edc5e77205d.png?v=1665089027,2,Armband NOMA indigo,,,,
armband-nomad-indigo,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund7.png?v=1665089580,3,Armband NOMA indigo,,,,
armband-nomad-indigo,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft3_cdfb0cea-9015-4273-8579-96829d3288ae.png?v=1665089571,4,Armband NOMA indigo,,,,
armband-nomad-indigo,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund6.png?v=1665089583,5,Armband NOMA indigo,,,,
armband-nomad-indigo,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund5_bf5f12ef-c1af-4d42-b2c3-09e7ff04c169.png?v=1665089596,6,Armband NOMA indigo,,,,
armband-nomad-indigo,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund4_e328aa31-3cbf-48c7-93d8-e17a0aae94ea.png?v=1665089589,7,Armband NOMA indigo,,,,
kopie-von-armband-nomad-azur,"Armband NOMA lime","<p>Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD lime.</p><p>So kannst du mit deinem Hund im Partnerlook gehen. Das Armband ist verstellbar, es hat eine Öse und wird zum Verschliessen geknotet.</p><p>erhältlich in 2 Breiten: 1,5 cm und 2,5 cm</p>",Prunkhund,,Kollektion_NOMAD,TRUE,active,Breite,1.5 cm,,,,,,10,shopify,deny,manual,12.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund5.png?v=1665088914,1,Armband NOMA lime,FALSE,"Armband NOMA lime","Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD lime. So kannst du mit deinem Hund im Partnerlook gehen."
kopie-von-armband-nomad-azur,,,,,,,,Breite,2.5 cm,,,,,,10,shopify,continue,manual,15.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/nomad-collection-armband-geknuepft-handgemacht-bunt_595565c5-9c07-4dd3-8e2f-65fc6352b258.png?v=1665088922,2,Armband NOMA lime,,,,
kopie-von-armband-nomad-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund1_77575869-cdee-4b32-8652-8b94a69c4a88.png?v=1665088939,3,Armband NOMA lime,,,,
kopie-von-armband-nomad-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft3_9971a277-ee96-4acc-a133-2c3c49265475.png?v=1665088947,4,Armband NOMA lime,,,,
kopie-von-armband-nomad-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund3_acc91946-d351-47d2-89b2-dd4c70dd2d15.png?v=1665088962,5,Armband NOMA lime,,,,
kopie-von-armband-nomad-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund9.png?v=1665088978,6,Armband NOMA lime,,,,
kopie-von-armband-nomad-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund10.png?v=1665088994,7,Armband NOMA lime,,,,
kopie-von-armband-nomad-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft1.png?v=1665089006,8,Armband NOMA lime,,,,
armband-nomad-pink,"Armband NOMA pink","<p>Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD lime.</p><p>So kannst du mit deinem Hund im Partnerlook gehen. Das Armband ist verstellbar, es hat eine Öse und wird zum Verschliessen geknotet.</p><p>erhältlich in 2 Breiten: 1,5 cm und 2,5 cm</p>",Prunkhund,,Kollektion_NOMAD,TRUE,active,Breite,1.5 cm,,,,,,10,shopify,deny,manual,12.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund1.png?v=1665088855,1,Armband NOMA pink,FALSE,"Armband NOMA pink","Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD lime. So kannst du mit deinem Hund im Partnerlook gehen."
armband-nomad-pink,,,,,,,,Breite,2.5 cm,,,,,,10,shopify,continue,manual,15.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft1_f7a6fbf5-89bf-4ca0-92a5-84f76f7b0a9c.png?v=1665088864,2,Armband NOMA pink,,,,
armband-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/nomad-collection-armband-geknuepft-handgemacht-bunt.png?v=1665088873,3,Armband NOMA pink,,,,
armband-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund2_e45f3ac3-4798-4bbd-8724-f5373ebe5a72.png?v=1665088890,4,Armband NOMA pink,,,,
armband-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft3_02cc32ca-95c4-4406-83d0-e22be20682c3.png?v=1665088899,5,Armband NOMA pink,,,,
essential-handschlaufe-basic-black,"ESSENTIAL Handschlaufe BASIC black","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-schwarz-umhaengen-haende-frei-hands-free-leash7_1600x_e409353b-5651-4680-ab5b-c021c6945d17.png?v=1727712848,1,ESSENTIAL Handschlaufe BASIC black,FALSE,"ESSENTIAL Handschlaufe BASIC black","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-basic-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-schwarz-umhaengen-haende-frei-hands-free-leash8_1600x_fb8fbc85-1e91-494e-a10f-12701eef7b06.png?v=1727712849,2,ESSENTIAL Handschlaufe BASIC black,,,,
essential-handschlaufe-basic-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-schwarz-umhaengen-haende-frei-hands-free-leash9_1600x_0aedb30f-5c3f-42b8-ad8b-06b43cfc701c.png?v=1727712849,3,ESSENTIAL Handschlaufe BASIC black,,,,
essential-handschlaufe-basic-olive,"ESSENTIAL Handschlaufe BASIC olive","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,"collection_calm,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-gruen-umhaengen-haende-frei-hands-free-leash11.png?v=1698498931,1,ESSENTIAL Handschlaufe BASIC olive,FALSE,"ESSENTIAL Handschlaufe BASIC olive","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-basic-olive,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-gruen-umhaengen-haende-frei-hands-free-leash12.png?v=1698498931,2,ESSENTIAL Handschlaufe BASIC olive,,,,
essential-handschlaufe-basic-tan,"ESSENTIAL Handschlaufe BASIC tan","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.<br></h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,collection_calm,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-beige-umhaengen-haende-frei-hands-free-leash11.png?v=1698498898,1,ESSENTIAL Handschlaufe BASIC tan,FALSE,"ESSENTIAL Handschlaufe BASIC tan","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-basic-tan,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-beige-umhaengen-haende-frei-hands-free-leash12.png?v=1698498898,2,ESSENTIAL Handschlaufe BASIC tan,,,,
essential-handschlaufe-candy,"ESSENTIAL Handschlaufe CANDY","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm   </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gestreift-hundeleine1.png?v=1739803952,1,ESSENTIAL Handschlaufe CANDY,FALSE,"ESSENTIAL Handschlaufe CANDY","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-candy,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gestreift-hundeleine2.png?v=1739803952,2,ESSENTIAL Handschlaufe CANDY,,,,
essential-handschlaufe-candy,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gestreift-hundeleine3.png?v=1739803953,3,ESSENTIAL Handschlaufe CANDY,,,,
essential-handschlaufe-capri-mint,"ESSENTIAL Handschlaufe CAPRI mint","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm   </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/262.png?v=1742598009,1,ESSENTIAL Handschlaufe CAPRI mint,FALSE,"ESSENTIAL Handschlaufe CAPRI mint","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
