Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Status,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description
essential-handschlaufe-capri-pink,"ESSENTIAL Handschlaufe CAPRI pink","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm   </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/265.png?v=1742597983,1,ESSENTIAL Handschlaufe CAPRI pink,FALSE,"ESSENTIAL Handschlaufe CAPRI pink","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-confetti,"ESSENTIAL Handschlaufe CONFETTI","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,SS25,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-rosegold2.png?v=1739805487,1,ESSENTIAL Handschlaufe CONFETTI,FALSE,"ESSENTIAL Handschlaufe CONFETTI","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-confetti,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-rosegold1.png?v=1739805487,2,ESSENTIAL Handschlaufe CONFETTI,,,,
essential-handschlaufe-confetti,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-rosegold3.png?v=1739805486,3,ESSENTIAL Handschlaufe CONFETTI,,,,
essential-handschlaufe-dark,"ESSENTIAL Handschlaufe DARK","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/aw24-pt1-2.png?v=1727721588,1,ESSENTIAL Handschlaufe DARK,FALSE,"ESSENTIAL Handschlaufe DARK","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-dark,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-schwarz-veganes-leder14_1600x_94a23070-45a3-436e-beb6-40e95a33bd53.png?v=1727711782,2,ESSENTIAL Handschlaufe DARK,,,,
essential-handschlaufe-eclipse-1,"ESSENTIAL Handschlaufe ECLIPSE","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-schwarz-veganes-leder-rosegold16.png?v=1685458708,1,ESSENTIAL Handschlaufe ECLIPSE,FALSE,"ESSENTIAL Handschlaufe ECLIPSE","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-eclipse-1,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-schwarz-veganes-leder-rosegold17.png?v=1685458708,2,ESSENTIAL Handschlaufe ECLIPSE,,,,
essential-handschlaufe-goa-aqua,"ESSENTIAL Handschlaufe GOA aqua","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm   </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint11.png?v=1745923062,1,ESSENTIAL Handschlaufe GOA aqua,FALSE,"ESSENTIAL Handschlaufe GOA aqua","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-goa-aqua,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint1.png?v=1745923062,2,ESSENTIAL Handschlaufe GOA aqua,,,,
essential-handschlaufe-goa-aqua,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint12.png?v=1745923046,3,ESSENTIAL Handschlaufe GOA aqua,,,,
essential-handschlaufe-goa-azur,"ESSENTIAL Handschlaufe GOA azur","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm   </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint-blau-azur9.png?v=1745923912,1,ESSENTIAL Handschlaufe GOA azur,FALSE,"ESSENTIAL Handschlaufe GOA azur","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-goa-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint-blau-azur10.png?v=1745924007,2,ESSENTIAL Handschlaufe GOA azur,,,,
essential-handschlaufe-goa-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint-blau-azur12.png?v=1745924007,3,ESSENTIAL Handschlaufe GOA azur,,,,
essential-handschlaufe-goa-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint-blau-azur13.png?v=1745924007,4,ESSENTIAL Handschlaufe GOA azur,,,,
essential-handschlaufe-goa-curry,"ESSENTIAL Handschlaufe GOA curry","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm   </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-hands-free-haende-frei-umhaengen-laengenverstellbargelb-blumen-essential9.png?v=1745920489,1,ESSENTIAL Handschlaufe GOA curry,FALSE,"ESSENTIAL Handschlaufe GOA curry","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-goa-curry,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-hands-free-haende-frei-umhaengen-laengenverstellbargelb-blumen-essential10.png?v=1745920489,2,ESSENTIAL Handschlaufe GOA curry,,,,
essential-handschlaufe-goa-curry,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-hands-free-haende-frei-umhaengen-laengenverstellbargelb-blumen-essential11.png?v=1745920489,3,ESSENTIAL Handschlaufe GOA curry,,,,
essential-handschlaufe-goa-garden,"ESSENTIAL Handschlaufe GOA garden","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm    </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-garden-blumen8.png?v=1745921780,1,ESSENTIAL Handschlaufe GOA garden,FALSE,"ESSENTIAL Handschlaufe GOA garden","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-goa-garden,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-garden-blumen9.png?v=1745921780,2,ESSENTIAL Handschlaufe GOA garden,,,,
essential-handschlaufe-goa-garden,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-garden-blumen10.png?v=1745921781,3,ESSENTIAL Handschlaufe GOA garden,,,,
essential-handschlaufe-goa-garden,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-garden-blumen11.png?v=1745921780,4,ESSENTIAL Handschlaufe GOA garden,,,,
essential-handschlaufe-goa-midnight,"ESSENTIAL Handschlaufe GOA midnight","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm    </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint-dunkelblau8.png?v=1745924688,1,ESSENTIAL Handschlaufe GOA midnight,FALSE,"ESSENTIAL Handschlaufe GOA midnight","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-goa-midnight,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint-dunkelblau9.png?v=1745924689,2,ESSENTIAL Handschlaufe GOA midnight,,,,
essential-handschlaufe-goa-midnight,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-mint-blumen-blockprint-dunkelblau10.png?v=1745924689,3,ESSENTIAL Handschlaufe GOA midnight,,,,
essential-handschlaufe-goa-sand,"ESSENTIAL Handschlaufe GOA sand","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm   </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-beige-blumen11.png?v=1745922344,1,ESSENTIAL Handschlaufe GOA sand,FALSE,"ESSENTIAL Handschlaufe GOA sand","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-goa-sand,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-beige-blumen12.png?v=1745922345,2,ESSENTIAL Handschlaufe GOA sand,,,,
essential-handschlaufe-goa-sand,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-hundeleine-zum-umhaengen-essential-beige-blumen13.png?v=1745922345,3,ESSENTIAL Handschlaufe GOA sand,,,,
essential-handschlaufe-ibiza-blue,"ESSENTIAL Handschlaufe IBIZA blue","<p>farbenfrohes Boho Muster mit Metallteilen in der Farbe Mattgold </p><h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,Kollektion_IBIZA,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-boho-muster-dunkelblau-gold11.png?v=1685458168,1,ESSENTIAL Handschlaufe IBIZA blue,FALSE,"ESSENTIAL Handschlaufe IBIZA blue","farbenfrohes Boho Muster mit Metallteilen in der Farbe Mattgold. Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-ibiza-blue,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-boho-muster-dunkelblau-gold12.png?v=1685458169,2,ESSENTIAL Handschlaufe IBIZA blue,,,,
essential-handschlaufe-ibiza-gelb,"ESSENTIAL Handschlaufe IBIZA gelb","<h4>farbenfrohes Boho Muster mit Metallteilen in der Farbe Mattgold </h4><h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,Kollektion_IBIZA,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-boho-muster-gelb-gold12.png?v=1685458135,1,ESSENTIAL Handschlaufe IBIZA gelb,FALSE,"ESSENTIAL Handschlaufe IBIZA gelb","farbenfrohes Boho Muster mit Metallteilen in der Farbe Mattgold. Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-ibiza-gelb,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-boho-muster-gelb-gold13.png?v=1685458136,2,ESSENTIAL Handschlaufe IBIZA gelb,,,,
essential-handschlaufe-ibiza-mint,"ESSENTIAL Handschlaufe IBIZA mint","<h4>farbenfrohes Boho Muster mit Metallteilen in der Farbe Mattgold </h4><h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,Kollektion_IBIZA,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-ibiza-boho-essential912.png?v=1685012080,1,ESSENTIAL Handschlaufe IBIZA mint,FALSE,"ESSENTIAL Handschlaufe IBIZA mint","farbenfrohes Boho Muster mit Metallteilen in der Farbe Mattgold. Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-ibiza-mint,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-ibiza-boho-essential913.png?v=1685012080,2,ESSENTIAL Handschlaufe IBIZA mint,,,,
essential-handschlaufe-ibiza-mint,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-ibiza-boho-essential914.png?v=1685012080,3,ESSENTIAL Handschlaufe IBIZA mint,,,,
essential-handschlaufe-ibiza-pink,"ESSENTIAL Handschlaufe IBIZA pink","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Boho Muster mit Metallteilen in der Farbe Mattgold </h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,Kollektion_IBIZA,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-boho-muster-pink-gold13.png?v=1685458093,1,ESSENTIAL Handschlaufe IBIZA pink,FALSE,"ESSENTIAL Handschlaufe IBIZA pink","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Boho Muster mit Metallteilen in der Farbe Mattgold. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-ibiza-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-boho-muster-pink-gold14.png?v=1685458093,2,ESSENTIAL Handschlaufe IBIZA pink,,,,
essential-handschlaufe-ibiza-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hands-free-leash-hundeleine_zum-umhaengen-gassi-prunkhund-essential-boho-muster-pink-gold15.png?v=1685458094,3,ESSENTIAL Handschlaufe IBIZA pink,,,,
essential-handschlaufe-lido-olive,"ESSENTIAL Handschlaufe LIDO olive","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,"collection_calm,collection_sun",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gruen-steifen-metall-gold-prunkhund-lido1.png?v=1708981991,1,ESSENTIAL Handschlaufe LIDO olive,FALSE,"ESSENTIAL Handschlaufe LIDO olive","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-lido-olive,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gruen-steifen-metall-gold-prunkhund-lido2.png?v=1708981991,2,ESSENTIAL Handschlaufe LIDO olive,,,,
essential-handschlaufe-lido-olive,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gruen-steifen-metall-gold-prunkhund-lido3.png?v=1708981993,3,ESSENTIAL Handschlaufe LIDO olive,,,,
essential-handschlaufe-lido-olive,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gruen-steifen-metall-gold-prunkhund-lido4.png?v=1708981992,4,ESSENTIAL Handschlaufe LIDO olive,,,,
essential-handschlaufe-lido-olive,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gruen-steifen-metall-gold-prunkhund-lido5.png?v=1708981992,5,ESSENTIAL Handschlaufe LIDO olive,,,,
essential-handschlaufe-notting-hill,"ESSENTIAL Handschlaufe NOTTING HILL","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,"collection_aw24,collection_calm",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/notting-hill-hands-free-leine-hund-karo-gruen14.png?v=1727703818,1,ESSENTIAL Handschlaufe NOTTING HILL,FALSE,"ESSENTIAL Handschlaufe NOTTING HILL","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-pink,"ESSENTIAL Handschlaufe PINK","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm   </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-pink2.png?v=1739805217,1,ESSENTIAL Handschlaufe PINK,FALSE,"ESSENTIAL Handschlaufe PINK","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-pink1.png?v=1739805218,2,ESSENTIAL Handschlaufe PINK,,,,
essential-handschlaufe-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-pink3.png?v=1739805217,3,ESSENTIAL Handschlaufe PINK,,,,
